Date,p_low_vol,p_med_vol,p_high_vol
2023-04-10,0.05985940621336969,0.9401354825674071,5.111218518200226e-06
2023-04-11,0.17356712184275058,0.8264289099461744,3.968209792182342e-06
2023-04-12,0.34183766847399194,0.6581597206511504,2.6108733708298484e-06
2023-04-13,0.581397075752282,0.4186012538572531,1.6703927898453024e-06
2023-04-14,0.841687142156435,0.15831266749847417,1.903468975011706e-07
2023-04-17,0.9705763634464585,0.029423602344831015,3.421104194203038e-08
2023-04-18,0.9954246860939057,0.00457530998347053,3.9251148143861455e-09
2023-04-19,0.9994173902363407,0.0005826093649852056,3.962203745073269e-10
2023-04-20,0.9999131314368956,8.686853107810232e-05,2.962069961683318e-11
2023-04-21,0.9999778351539937,2.216484039847835e-05,6.390429894748167e-12
2023-04-24,0.9999549855656399,4.5014415229517334e-05,2.0631765524715306e-11
2023-04-25,0.9992819264645245,0.0007180734752230098,5.902937037093419e-11
2023-04-26,0.9998313431784759,0.00016865643445194755,3.8482588161481047e-10
2023-04-27,0.9996872076579212,0.00031279215487814383,1.9064673090094622e-10
2023-04-28,0.9999421812007422,5.781876845023362e-05,3.0315243663256704e-11
2023-05-01,0.999958675095395,4.13248867542295e-05,2.0166283758448408e-11
2023-05-02,0.9997690844453149,0.00023091552219146704,3.191923493765873e-11
2023-05-03,0.9998653641070825,0.00013463579088312342,1.0412455282464303e-10
2023-05-04,0.9998440768313883,0.00015592304911636045,1.167211848925104e-10
2023-05-05,0.9997156389930153,0.0002843608255721172,1.8186448274255714e-10
2023-05-08,0.9999031269612294,9.687297884018427e-05,5.90509255159262e-11
2023-05-09,0.9998896654479377,0.00011033453590492226,1.53414596789791e-11
2023-05-10,0.9999461952898591,5.3804697348273366e-05,1.1194395738293971e-11
2023-05-11,0.9999472740968361,5.272589741814425e-05,5.44078045551001e-12
2023-05-12,0.9999503720701393,4.9627924088900714e-05,4.80318991460452e-12
2023-05-15,0.9999539568648305,4.60431230697902e-05,1.1382169423876485e-11
2023-05-16,0.9998646999090859,0.00013530007385123468,1.7327721366964526e-11
2023-05-17,0.999894313373279,0.00010568657739967749,4.8954686670953725e-11
2023-05-18,0.9999134375244396,8.656244309669794e-05,3.589593401001481e-11
2023-05-19,0.9998894041607863,0.00011059580576133741,3.622308090882885e-11
2023-05-22,0.9998243088880392,0.00017569098360986377,1.2794026382176935e-10
2023-05-23,0.9993674466669716,0.0006325530610518784,2.746856751811993e-10
2023-05-24,0.9996387112047992,0.00036128865265128444,1.4026797940806882e-10
2023-05-25,0.9999263741449287,7.362579100342659e-05,6.42693387532523e-11
2023-05-26,0.9999232529137687,7.674706637753791e-05,1.8448455005140722e-11
2023-05-30,0.9999508982705206,4.9101719396483034e-05,9.987860814766173e-12
2023-05-31,0.9999282161161196,7.178387839920014e-05,6.401416888627086e-12
2023-06-01,0.9999542513748012,4.574861198831767e-05,1.4378845480424838e-11
2023-06-02,0.9999251492629206,7.485072822849095e-05,8.659710084429113e-12
2023-06-05,0.9999708063156051,2.919368142914736e-05,2.4428909884230302e-12
2023-06-06,0.9999795090687563,2.0490928302144544e-05,1.178770314725648e-12
2023-06-07,0.999970703072786,2.929692568417235e-05,7.512065112243826e-13
